,text,label
0,hài_lòng sản_phẩm dịch hài_lòng,"[0, 0, 0, 1, 1, 0, 0]"
1,sản_phẩm hạn quà tặng kèm siêu dễ_thương tiện mẹ bé lắm kì hài_lòng,"[0, 0, 0, 0, 1, 1, 0]"
2,tã quần pampers bình_thường mỏng nhẹ cải_tiến thành tã dáng mỏng loại thông_thường bé mặc thoáng thoải_mái tã không xệ như 1 loại tã cạnh rãnh thấm hút 2 giúp thấm hút nhanh dàn đều không vón cục giá không giao hàng nhanh ủng_hộ pampers,"[1, 1, 0, 1, 0, 0, 0]"
3,không hài_lòng lắm vi lươngj tiều ban_đêm nhiêu cung thay hai bỉm / 1 đêm bé hăm mặc tả,"[0, 0, 0, 1, 0, 1, 0]"
4,tiki giao hàng nhanh dịp goon giảm_giá mua bỉm goon thiết_kế đẹp thấm hút tốt bé tặng 2 gói dầu xả gội dove đầu tưởng tặng chai hihi quà vui hàng,"[1, 1, 0, 1, 1, 0, 0]"
5,giao_hành kì hài_lòng,"[1, 0, 0, 0, 0, 0, 0]"
6,bao_bì cẩn kì hài_lòng,"[1, 0, 0, 0, 0, 0, 0]"
7,tả quần xl 62 miếng shop 299k 380k mắc không_trung_thực khách_hàng mua hàng không tâm,"[0, 1, 0, 0, 1, 0, 0]"
8,giao hàng nhanh đóng_gói chắc_chắn giá_cả kì hài_lòng,"[1, 1, 0, 0, 0, 0, 0]"
9,tiki đóng_gói cẩn_thận giao hàng nhanh sản_phẩm bỉm mua thường_xuyên tiki kì hài_lòng,"[1, 0, 0, 1, 0, 0, 0]"
10,tốt sản_phẩm tốt tốt tốt tôt tốt tốt,"[0, 0, 0, 0, 0, 0, 0]"
11,y mô kì hài_lòng,"[0, 0, 1, 0, 0, 0, 0]"
12,quà tặng xinh tã mềm form hơi chút mẹ mua bé cân_nhắc kì hài_lòng,"[0, 0, 0, 1, 1, 0, 0]"
13,giao hàng nhanh hạn sản_phẩm 1 sữa vị,"[1, 0, 0, 1, 0, 1, 0]"
14,kích_thước to đúng kg tràn không đáy hở tràn k tè 2 khéo ướt nhún nhầy tràn xl hơi ôm ổn lỡ ngủ quên khuya ổn không,"[0, 0, 0, 1, 0, 0, 0]"
15,hàng cao_cấp bobby cứng bỉm dày thấm hút bình_thường mua mấy dòng bỉm nhật mặc_dù giá ngang không hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
16,giao kg đúng màu hài_lòng,"[0, 0, 0, 0, 1, 0, 0]"
17,giao hàng nhanh gia kì hài_lòng,"[1, 1, 0, 0, 0, 0, 0]"
18,sản_phẩm mắc không cong tốt như hài_lòng,"[1, 1, 0, 1, 0, 0, 0]"
19,vải mềm mặc thoải_mái mặc đi không dáng quần chật quần quần bỉm lệch 1 quần vụng,"[0, 0, 0, 0, 0, 0, 0]"
20,sản_phẩm hợp giá tiền chất_liệu oke ủng_hộ tiki,"[0, 1, 0, 1, 0, 0, 0]"
21,hơi mùi màu vàng đắt,"[0, 0, 0, 1, 0, 0, 0]"
22,mua 3 hàng tốt bé mặc thoải_mái loại,"[0, 0, 0, 1, 0, 0, 0]"
23,gói bỉm cũ bạc_màu loại mẫu_mã gói bỉm không hài_lòng,"[0, 0, 0, 1, 0, 1, 0]"
24,tã_êm mềm thoáng bé 100 % hãng nhập_khẩu nhật kèm quà tặng đẹp hài_lòng dịch_vụ giao 100 % hãng,"[1, 0, 1, 1, 0, 0, 0]"
25,tã mềm mỏng nhẹ thấm hút tốt đóng_gói cẩn_thận vote kì hài_lòng,"[1, 0, 0, 1, 0, 0, 0]"
26,mời tiki hình chụp đính kèm hộp dơ_bẩn rỉ sét móp méo mất : sữa trẻ_em uống chất_lượng ? trẻ_em 3 uống trách_nhiệm ? hàng giao nhanh 2h đề_nghị tiki thu_hồi giúp sản_phẩm nhanh ! trẻ_em 3 trừ hộp dơ_bẩn rỉ sét móp méo không galanty,"[1, 0, 0, 0, 1, 1, 0]"
27,giai hàng kì hài_lòng,"[1, 0, 0, 0, 0, 0, 0]"
28,chất_lượng sản_phẩm tệ không như hình_ảnh vải xấu xù nóng kê không noid tệ mua sản_phẩm suy_nghĩ xét,"[0, 0, 0, 1, 0, 0, 0]"
29,hàng tốt đúng như mô_tả giao hàng nhanh dễ_thương shop nhiệt_tình 5 mong ưu_đãi mua giá rẻ kì hài_lòng,"[1, 1, 0, 1, 1, 1, 0]"
30,mềm thoáng loại kì hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
31,dịch_vụ chất_lượng kì hài_lòng,"[0, 0, 0, 1, 1, 0, 0]"
32,gjao hang nhanh du kjen dog goj rat chac tang kem luc nao bj thjeu nhug rat nhanh da guj laj ta moj rat dep rat long,"[1, 0, 0, 1, 1, 1, 0]"
33,sản_phẩm mềm thấm hút kì hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
34,"giao hàng nhanh đúng loại như hình ( đc tặng 8m loại ) kích_thước s cân 4 - 8 kg bé 5,5 kg mặc rộng đai dán mềm_mại dính tốt không như loại bobby soft màu vàng kích_thước bé đai dán cứng chật bé hằn chẳng "" soft "" chỗ mặc_dù mua 2 loại kích_thước tốt giá mềm","[1, 0, 0, 1, 0, 0, 0]"
35,tràn tả hoài không,"[0, 0, 0, 1, 0, 0, 0]"
36,loại không tốt loại cũ mỏng thấm ít loại hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
37,giao hàng cực nhanh tặng quà kì hài_lòng,"[1, 0, 0, 0, 1, 0, 0]"
38,tã không hàng tặng không vui không hài_lòng,"[0, 0, 0, 0, 1, 0, 0]"
39,ta xai rat hút kì hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
40,giao hàng chậm đặt_hàng giao tận 5,"[1, 0, 0, 0, 0, 0, 0]"
41,sản_phẩm tốt tiki giao hàng hơi chậm 1 tuần giao trừ 1,"[1, 0, 0, 1, 0, 0, 0]"
42,hàng oke kì hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
43,san phẩm tốt tiki giao hàng đúng không kì hài_lòng,"[1, 0, 0, 1, 0, 0, 0]"
44,mua gói tặng ghế ăn mastela hài_lòng,"[0, 0, 0, 0, 0, 0, 1]"
45,gói hàng cẩn_thận sản_phẩm kì hài_lòng,"[1, 0, 1, 0, 0, 0, 0]"
46,mua tã pamper ưng lắm mỏng nhẹ xài 8 - 9 tiếng kg tràn bé 1 bú đều 4 - 6 kì hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
47,giao hàng siêu nhanh tỉnh hôm hôm giao quà tặng dễ_thương sữa hạn thanks kì hài_lòng,"[1, 0, 0, 0, 1, 1, 0]"
48,tốt tốt tốt tốt tốt tốt tốt tốt tốt tốt tốt tốt tốt tốt tốt tốt tốt,"[0, 0, 0, 0, 0, 0, 0]"
49,ok ok kì hài_lòng,"[0, 0, 0, 0, 0, 0, 0]"
50,"tả mỏng nhẹ thấm hút tốt không mất form vón cục đơn hàng mua tặng kèm bình lock and lock 1,5 l chưa bình đơn hàng đợi tiki kiểm_tra đơn hàng phản_hồi giúp 2 bình kì hài_lòng","[0, 0, 0, 1, 1, 0, 0]"
51,tã cũ sản_xuất t1 / 2019 bao_bì cũ không hài_lòng,"[0, 0, 0, 1, 0, 1, 0]"
52,sản_phẩm đầu tiền quần huggies,"[0, 0, 1, 1, 0, 0, 0]"
53,ta ban khổng bi_kịch_ung tham hut tốt lung thun co gian de dang khổng bi gia chat ta,"[0, 0, 0, 1, 0, 1, 0]"
54,giao hàng tặng nhanh chắc_chắn giao hàng tặng đầu tuần tuần giao tã kịp tã thấm hút tốt đêm đều giá tầm trung kì hài_lòng,"[1, 1, 0, 1, 1, 0, 0]"
55,bé không hâm lưng không hằn vết ngược_lại mỏng mau sản_phẩm loại một đêm bé tiêu 2 kì hài_lòng,"[0, 0, 0, 1, 0, 1, 0]"
56,thun lưng cứng trật hút hài_lòng,"[0, 0, 0, 1, 0, 0, 1]"
57,hang_cuc goi hut kì hài_lòng,"[0, 0, 0, 0, 0, 0, 0]"
58,mua hàng tiki tuần không quà mua 4 bịch tả 4 bịch khăn ướt không kêu không tiền ship 35k phí giao hàng cồng_gián,"[1, 0, 0, 0, 1, 0, 0]"
59,sản_phẩm qa tệ tràn ga jo chưa co bỉm mô nhân_viên,"[0, 0, 0, 1, 0, 0, 0]"
60,pampers không hôm bỉm bỉm tụt không ôm sợ đi 2 hàng đổi thử pampers dáng mê bỉm mỏng không mùi mùa hè thấm hút tốt trải đều không đúng cục đêm không tràn chương_trình khuyến_mại tiền lắm mẹ kì hài_lòng,"[0, 1, 0, 1, 0, 0, 0]"
61,sp kì hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
62,tiki giao hàng bao_bì rách một lớp túi_bóng không hài_lòng vận_chuyển đóng_gói không hài_lòng,"[1, 0, 0, 0, 0, 1, 0]"
63,giáo hàng nhanh sản_phẩm tốt hạn kì hài_lòng,"[1, 0, 0, 1, 0, 1, 0]"
64,cực_kì hài_lòng sản_phẩm tốt giá mềm tiki giao hàng kì hài_lòng,"[1, 1, 0, 0, 0, 0, 0]"
65,0k hạn nha 🥰 mua nha mn bỉm,"[0, 0, 0, 0, 0, 1, 0]"
66,2 bịch bé gái bao_bì ghi man bỉm màu hồng chả nhầm không ? chả_lẽ nhật bé gái mã man,"[0, 0, 0, 0, 0, 0, 1]"
